Temps,T1,T2,T3,T4,T5,Pression,Force,Temps_Magna_Power,Voltage_Magna_Power,Courant_Magna_Power
0,24.15,24.39,24.07,24.37,18.51,82.43,322.67,2,19.1,0.39
0.2,24.05,24.37,24.02,24.35,18.47,82.43,323.46,2,19.1,0.39
0.4,23.99,24.32,24.01,24.33,18.43,82.43,324.25,2,51.1,0.99
0.6,23.98,24.29,23.99,24.35,18.45,82.43,324.62,3,51.1,1.7
0.8,24.1,24.32,24.02,24.35,18.43,82.43,325.38,3,68.4,1.7
1,24.24,24.35,24.09,24.37,18.44,82.43,326.02,3,68.4,1.81
1.2,24.4,24.39,24.2,24.46,18.43,82.43,326.11,4,59.5,1.81
1.4,24.55,24.42,24.44,24.73,18.43,82.43,326.78,4,58.3,1.59
1.6,24.7,24.56,24.71,25.03,18.43,82.43,327.73,4,58.3,1.59
1.8,25.11,24.95,24.84,25.3,18.43,82.43,328.51,4,54.7,1.65
2,25.48,25.23,25.12,25.79,18.44,82.43,329.12,4,54.7,1.69
2.2,25.97,25.75,25.53,26.14,18.42,82.43,329.39,5,53.6,1.69
2.4,26.38,26.24,25.81,26.64,18.42,82.43,330.14,5,53.6,1.74
2.6,26.99,26.81,26.3,27,18.43,82.43,330.87,5,52.2,1.74
2.8,27.5,27.53,26.66,27.56,18.43,82.43,330.92,5,51.6,1.76
3,28.13,28.26,27.1,28.01,18.41,82.43,330.94,5,51.6,1.76
3.2,28.79,29.05,27.52,28.62,18.42,82.43,331.41,5,51.2,1.78
3.4,29.45,29.85,28.07,29.12,18.45,82.43,332.24,6,51.2,1.78
3.6,30.12,30.63,28.51,29.66,18.45,82.43,332.77,6,50.9,1.81
3.8,30.82,31.43,29.08,30.29,18.43,82.43,333.12,6,50.9,1.81
4,31.55,32.23,29.5,30.84,18.44,82.43,333.98,6,50.8,1.81
4.2,32.24,32.98,30.13,31.48,18.48,82.43,334.7,6,50.8,1.83
4.4,32.95,33.73,30.6,32.1,18.5,82.43,334.78,7,50.8,1.83
4.6,33.74,34.48,31.17,32.67,18.45,82.43,335.26,7,50.6,1.83
4.8,34.48,35.25,31.77,33.36,18.42,82.43,335.95,7,50.6,1.83
5,35.21,36.03,32.29,33.95,18.4,82.43,336.24,7,50.5,1.83
5.2,35.99,36.76,32.87,34.55,18.4,82.43,336.63,7,50.5,1.83
5.4,36.69,37.63,33.38,35.26,18.41,82.43,337.11,8,50.6,1.83
5.6,37.53,38.5,34.01,35.87,18.41,82.43,337.47,8,50.5,1.83
5.8,38.31,39.26,34.57,36.49,18.45,82.43,338.18,8,50.5,1.83
6,39.06,40.1,35.11,37.22,18.41,82.43,339.14,8,50.3,1.83
6.2,39.81,40.97,35.73,37.85,18.41,82.43,339.34,8,50.3,1.83
6.4,40.56,41.88,36.26,38.54,18.4,82.43,339.37,9,50.5,1.83
6.6,41.31,42.75,36.86,39.21,18.41,82.43,339.92,9,50.5,1.83
6.8,42.04,43.74,37.42,39.93,18.41,82.43,340.34,9,50.4,1.83
7,42.76,44.68,37.97,40.57,18.39,82.43,340.7,9,50.4,1.83
7.2,43.48,45.65,38.61,41.22,18.43,82.43,341.36,10,50.4,1.83
7.4,44.21,46.58,39.15,41.94,18.43,82.43,341.73,10,50.6,1.83
7.6,44.91,47.51,39.79,42.57,18.45,82.43,341.82,10,50.6,1.83
7.8,45.63,48.45,40.34,43.21,18.43,82.43,342.4,10,50.4,1.83
8,46.32,49.37,40.85,43.93,18.39,82.43,342.82,10,50.4,1.83
8.2,47.05,50.33,41.44,44.56,18.39,82.43,343.26,11,50.3,1.83
8.4,47.74,51.34,41.93,45.13,18.41,82.43,343.86,11,50.3,1.83
8.6,48.41,52.33,42.55,45.84,18.45,82.43,344.04,11,50.3,1.83
8.8,49.08,53.32,43,46.47,18.44,82.43,344.36,11,50.1,1.83
9,49.75,54.24,43.6,47.11,18.43,82.43,344.71,11,50.1,1.83
9.2,50.41,55.26,44.13,47.75,18.4,82.43,345.16,11,50.2,1.83
9.4,51.07,56.25,44.66,48.39,18.45,82.44,345.27,12,50.2,1.85
9.6,51.76,57.26,45.2,48.97,18.45,82.44,345.65,12,50.2,1.85
9.8,52.35,58.29,45.74,49.66,18.44,82.44,346.51,12,50.2,1.85
10,52.99,59.34,46.37,50.26,18.43,82.44,346.52,12,49.9,1.85
10.2,53.7,60.43,46.83,50.9,18.41,82.44,346.49,12,50.1,1.85
